Designator,Mid X,Mid Y,Rotation,Layer
C1,17.95,-46.6,180.0,top
C10,26.25,-37.0,90.0,top
C11,34.75,-39.425,270.0,top
C12,27.1,-49.0,0.0,top
C13,23.3,-68.625,90.0,top
C14,21.0,-68.75,90.0,top
C15,21.25,-71.75,90.0,top
C16,24.5,-64.5,180.0,top
C17,24.525,-62.0,180.0,top
C18,32.0,-67.25,270.0,top
C19,22.5,-15.75,90.0,top
C2,17.425,-45.1,180.0,top
C3,17.0,-29.25,180.0,top
C4,42.75,-36.75,0.0,top
C5,24.5,-14.525,90.0,top
C6,27.5,-33.5,0.0,top
C7,27.1,-47.0,0.0,top
C8,27.75,-43.5,0.0,top
C9,27.75,-45.25,0.0,top
J1,16.5,-70.05,270.0,top
J10,53.8,-60.89,90.0,top
J11,53.8,-53.25,90.0,top
J2,53.8,-76.17,90.0,top
J3,23.99,-84.76,0.0,top
J4,31.86,-84.76,0.0,top
J5,39.73,-84.76,0.0,top
J6,47.6,-84.76,0.0,top
J8,54.5,-35.01,0.0,top
J9,53.8,-68.53,90.0,top
P1,17.35,-54.15,270.0,top
Q1,44.7375,-68.01,180.0,top
Q2,44.55,-60.76,180.0,top
Q3,44.7375,-53.26,180.0,top
Q4,45.3,-76.76,180.0,top
R1,25.0,-52.75,90.0,top
R10,47.175,-22.5,0.0,top
R11,48.3,-66.26,0.0,top
R12,47.1,-24.3,0.0,top
R13,44.8,-72.51,0.0,top
R2,23.675,-20.0,0.0,top
R3,27.75,-71.5,270.0,top
R4,31.9,-70.9,90.0,top
R5,29.75,-69.75,270.0,top
R6,47.075,-19.3,0.0,top
R7,41.4,-63.68,0.0,top
R8,47.075,-20.9,0.0,top
R9,47.3,-58.26,0.0,top
SW1,47.6,-34.9,180.0,top
SW2,19.25,-23.75,0.0,top
U1,35.75,-18.72,0.0,top
U2,17.7,-39.85,270.0,top
U3,31.75,-42.0,0.0,top
U5,30.0,-34.2,0.0,top
U6,26.6,-68.0,180.0,top
U7,37.1,-35.2,0.0,top
U8,34.25,-48.25,90.0,top
Y1,36.25,-42.25,0.0,top
