Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C2",0603,4,10µF,
"C10, C11, C12, C6, C7",0603,5,100n,
"C15, C18, C3, C4, C5",0603,5,0.1µF,
"C16, C17",0603,2,22µF,
C19,0603,1,10uf,
C8,0603,1,2u2,
C9,0603,1,10n,
J1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J10, J11, J2, J9",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,4,Screw_Terminal_01x02,
"J3, J6",PinHeader_1x03_P2.54mm_Vertical,2,Servo 1,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Servo 2,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Servo 3,
J8,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Plug_USB2.0,
"Q1, Q2, Q3, Q4",SOT-23,4,IRLML6402,
R1,0603,1,5.1k,
"R10, R12, R6, R8",0603,4,100,
"R11, R13, R2, R5, R7, R9",0603,6,10k,
R3,0603,1,60,
R4,0603,1,330,
"SW1, SW3",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088R-02026,C455280
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U3,PQFN50P300X250X97-14N,1,ICM-42688-P,
U5,LGA-10_L2.0-W2.0-P0.50-BL,1,BMP390_C5124834,C5124834
U6,SOT-23-6,1,TPS565208,
U7,SOIC127P600X172-8N,1,MLX90395KDC-BBA-001-SP,
U8,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
Y1,OSC_OV-7604-C7-32.768KHZ-20PPM-TB-QA,1,OV-7604-C7-32.768KHZ-20PPM-TB-QA,
